,cases,country
3/31/2020,5715,Brazil
4/30/2020,81470,Brazil
5/31/2020,427662,Brazil
6/30/2020,887192,Brazil
7/31/2020,1260444,Brazil
8/31/2020,1245787,Brazil
9/30/2020,902663,Brazil
10/31/2020,724670,Brazil
11/30/2020,800273,Brazil
12/31/2020,1340095,Brazil
1/31/2021,1528758,Brazil
2/28/2021,1346528,Brazil
3/31/2021,2197488,Brazil
4/30/2021,1910264,Brazil
5/31/2021,1886543,Brazil
6/30/2021,2011587,Brazil
3/31/2020,8507,Canada
4/30/2020,45930,Canada
5/31/2020,38022,Canada
6/30/2020,13618,Canada
7/31/2020,12184,Canada
8/31/2020,12637,Canada
9/30/2020,30189,Canada
10/31/2020,76206,Canada
11/30/2020,144244,Canada
12/31/2020,202852,Canada
1/31/2021,199286,Canada
2/28/2021,87999,Canada
3/31/2021,117114,Canada
4/30/2021,239559,Canada
5/31/2021,160961,Canada
6/30/2021,33502,Canada
3/31/2020,52178,France
4/30/2020,116583,France
5/31/2020,22114,France
6/30/2020,13269,France
7/31/2020,22995,France
8/31/2020,93921,France
9/30/2020,284733,France
10/31/2020,808471,France
11/30/2020,862510,France
12/31/2020,400792,France
1/31/2021,578254,France
2/28/2021,559719,France
3/31/2021,889429,France
4/30/2021,972767,France
5/31/2021,50953,France
6/30/2021,108477,France
3/31/2020,71729,Germany
4/30/2020,91201,Germany
5/31/2020,20401,Germany
6/30/2020,12008,Germany
7/31/2020,14981,Germany
8/31/2020,34403,Germany
9/30/2020,48111,Germany
10/31/2020,238877,Germany
11/30/2020,538122,Germany
12/31/2020,690608,Germany
1/31/2021,465139,Germany
2/28/2021,224636,Germany
3/31/2021,393349,Germany
4/30/2021,561721,Germany
5/31/2021,284556,Germany
6/30/2021,46284,Germany
3/31/2020,1394,India
4/30/2020,33466,India
5/31/2020,155746,India
6/30/2020,394872,India
7/31/2020,1110507,India
8/31/2020,1995178,India
9/30/2020,2621418,India
10/31/2020,1871498,India
11/30/2020,1278727,India
12/31/2020,803865,India
1/31/2021,490936,India
2/28/2021,354631,India
3/31/2021,1109424,India
4/30/2021,6943304,India
5/31/2021,9010075,India
6/30/2021,2236590,India
3/31/2020,2010,Japan
4/30/2020,12029,Japan
5/31/2020,2467,Japan
6/30/2020,1864,Japan
7/31/2020,17619,Japan
8/31/2020,32162,Japan
9/30/2020,15195,Japan
10/31/2020,17736,Japan
11/30/2020,47635,Japan
12/31/2020,86849,Japan
1/31/2021,154355,Japan
2/28/2021,41924,Japan
3/31/2021,42551,Japan
4/30/2021,118623,Japan
5/31/2021,153924,Japan
6/30/2021,53117,Japan
3/31/2020,38754,England
4/30/2020,139956,England
5/31/2020,78768,England
6/30/2020,27677,England
7/31/2020,19577,England
8/31/2020,33290,England
9/30/2020,117765,England
10/31/2020,558947,England
11/30/2020,618941,England
12/31/2020,862499,England
1/31/2021,1331952,England
2/28/2021,360640,England
3/31/2021,171155,England
4/30/2021,72264,England
5/31/2021,70985,England
6/30/2021,314067,England
3/31/2020,192276,USA
4/30/2020,888804,USA
5/31/2020,717688,USA
6/30/2020,843440,USA
7/31/2020,1925231,USA
8/31/2020,1459482,USA
9/30/2020,1208552,USA
10/31/2020,1930288,USA
11/30/2020,4504912,USA
12/31/2020,6429546,USA
1/31/2021,6149098,USA
2/28/2021,2402096,USA
3/31/2021,1813678,USA
4/30/2021,1885745,USA
5/31/2021,916731,USA
6/30/2021,397378,USA
